To/From,Kuwaiti Dinar,Bahraini Dinar,Japanese Yen
Kuwaiti Dinar,1,1.213837763,347.6095459
Bahraini Dinar,0.81026094,1,284.2758984
Japanese Yen,0.002837867,0.00347794,1
